-167.61758789774782,-23.944159443483624,-115.5687104258947,-13.71134653984749|9944
-118.61466746809437,-21.314412593067146,-78.88640697988092,-4.489137109618046|9918
-151.073538949211,-69.32420539853031,-99.24390855663654,-35.76676928359448|9934
-140.08690230983953,-19.50066035474191,-100.18806993691803,-3.180243385326456|9920
-101.2328423260248,-0.5614002091685033,-69.82411475807093,4.272748706824368|9940
-88.0412642853404,-63.73033048119887,-60.00201443263009,-37.549556848333935|9911
-37.773188609133285,-16.168051723105215,7.359234374887578,-10.113062391646743|9956
-44.87987404724681,-18.099544260394737,-26.017498497406656,-9.909903194184835|9987
-85.56037662053467,-51.19842416473469,-44.047882281576165,-37.54669113288275|9999
-105.79582498963757,-32.42873759431605,-70.56626664096305,-16.38286642200526|9902
-46.06659372227173,-88.50012047035929,-0.14413614436188027,-33.36462441974403|9936
-81.61575182947333,-33.916700741121076,-55.32500386906019,-25.45861143615993|9907
-85.57891119404724,-68.61915331283575,-56.191080752991816,-38.85436204675686|9983
-60.77901971230732,-15.24124829260844,-43.283414192461784,-8.734050359116093|9980
-174.7507154594008,-30.925424668000502,-123.81743160010856,-17.975796688881317|9998
-65.56023380673372,-80.04152714757814,-30.03141096114158,-37.650091109338604|9922
-142.05744300837165,-20.352730558349293,-101.8002626323252,-4.314340580825203|9989
-18.793988359419362,-53.309582561338374,11.33075565159615,-21.899704803457034|9915
-103.06392391716744,-12.709899910123067,-14.206971451052254,-10.98667237149618|9920
-17.553288491474355,-23.572053331908837,7.606672109579897,-9.853153776668108|9959
-172.87012866136976,-24.69215193148804,-112.95278081466917,-15.518697573114483|9956
-62.45037319211734,-82.36251636005811,-21.297143447763062,-37.91652194023155|9991
-140.36896355993608,-76.11737012002483,-88.07829367279999,-38.99793233285203|9924
-50.1397699170772,-9.08753576855422,-31.53584626640547,-2.6728564217374418|9923
-38.81502052642976,-21.197944405607146,-2.1148062113595216,-12.411950043645003|9964
-20.022027761032607,-33.09517177174195,4.6056844070445315,-13.696911390162569|9969
-145.6420255706163,-50.10587198961058,-98.3101338147261,-22.43298755512402|9964
-59.632221013813144,-32.9362856341148,-40.1085409114706,-23.527812177444464|9928
-75.43310584109778,-71.70505268117326,-46.612092752835075,-39.081670822265515|9954
-155.60197599604643,-59.12618385479826,-105.43787063403738,-30.69341282558279|9993
-50.74637231143168,-60.28372301097847,-20.312885212175726,-28.036273296859278|9945
-173.34533974227583,-53.80074693065738,-127.33977650783152,-28.489671042223076|9970
-27.099542968428032,-86.15979704966901,-13.510224733100413,-10.189217436247958|9901
-19.18077444251331,-53.792117048442734,11.343679240801855,-22.098537049502852|9914
-166.4400236913348,-71.07941031764348,-115.24928015825083,-38.477729364183986|9965
-27.447192206879667,-76.9026947167143,-15.47701889025587,-7.915876666773784|9997
-85.44455529161402,-70.23129430424059,-54.922266111485285,-39.59235471254222|9912
-106.2006872706765,-5.705158398887091,-73.28096915111622,1.75951717310586|9934
-64.57048383195887,-11.019959371641075,-45.66518543174844,-4.0981980304454435|9959
-117.21036052263393,-7.81962405872518,-80.05906545730468,4.258654021925912|9911
-135.72392401018212,-1.3416630157786014,-96.25843350890935,11.860632602364499|9900
-126.69930960130996,-41.88638259939422,-79.43977144380284,-20.11443056897746|9985
-43.446910242597724,-72.11638102191158,3.4553056612635586,-30.74428058511974|9993
-91.63782720983316,-23.659838949506636,-60.015707667741225,-14.941713022919325|9916
-89.31786590729637,-34.913275975486286,-57.29102267503905,-26.39929366187079|9906
-170.81498070894747,-81.74140076075025,-158.45368444866855,-10.321691638356526|9946
-107.0820971018203,-56.07791691397825,-67.15011605334391,-34.89298512631744|9961
-170.586928289703,-63.261820633255155,-120.88744924814867,-34.49235507105938|9927
-86.24844862536048,-62.5445914750174,-58.30917619880276,-37.45499992270126|9946
-110.35646460129638,-57.238651461535575,-54.90507891315645,-40.701791039888775|9962
-143.48066158316237,-21.76533333309102,-103.04557888526708,-6.03436266645846|9960
-16.875442037336576,-6.701529447173438,14.737832067808743,-1.0255485624333263|9935
-112.8628691278274,-10.447073500095055,-62.51167392807029,-4.926019186357933|9905
-57.80904429032429,-62.709038277293494,-28.626901942847866,-31.367182243711117|9923
-12.81084194364539,-30.752684572908972,9.347632746526884,-13.000385824586004|9936
-107.42791511776103,-30.240219690891717,-71.75811085164689,-14.125431259963609|9985
-175.55011361575893,-79.09131866936202,-171.78500802544167,26.569935090871724|9937
-163.1233625622677,-18.11243320225234,-111.5133197908706,-9.304815443515643|9918
-107.2165819956764,-52.95348101642529,-68.64394146320431,-32.15795948460664|9924
-104.40940738644171,-89.70435627483252,-93.02236660224185,11.654474635414203|9911
-12.717371125597532,-13.600834541751132,18.535100030328273,-7.116220932370785|9945
-41.956569386407764,-76.68666440773508,15.070987547822462,-34.03162587636596|9971
